[120.191373,30.307625]
[120.18548,30.301514]
[120.177216,30.293095]
[120.16773,30.286047]
[120.162196,30.282117]
[120.162196,30.274632]
[120.165789,30.271638]
[120.176569,30.266585]
[120.186558,30.260409]
[120.190008,30.252111]
[120.185265,30.244998]
[120.181887,30.239444]
[120.18045,30.235263]
[120.180737,30.228648]
[120.188786,30.225278]
[120.195541,30.227837]
[120.206033,30.231581]
[120.21861,30.185733]
[120.252386,30.23155]
[120.262878,30.216072]
[120.259572,30.203713]
[120.21958,30.189104]
[120.210669,30.194723]
[120.205494,30.196097]
[120.19802,30.19335]
[120.19184,30.19335]
[120.180198,30.191227]
[120.158208,30.187106]
[120.153752,30.17899]
[120.158639,30.170372]
[120.169275,30.169123]
[120.177467,30.16675]
[120.187959,30.169248]
[120.198308,30.166875]
[120.217568,30.16138]
[120.223029,30.148514]
[120.225185,30.135521]
[120.225616,30.1269]
[120.229928,30.115655]
[120.212537,30.107407]
[120.194283,30.107282]
